id,genres,name,screenshots,summary,source_game_id,obfuscated_summary
1020,"[5, 10, 31]",Grand Theft Auto V,"[5673, 6913, 5670, 5672, 5671, 5674, 1699381, 1699382, 1699383, 1699384, 1699385, 1699386, 1699387, 1699388, 1699389, 1699390, 1699391, 1699392]","Grand Theft Auto V is a vast open world game set in Los Santos, a sprawling sun-soaked metropolis struggling to stay afloat in an era of economic uncertainty and cheap reality TV. The game blends storytelling and gameplay in new ways as players repeatedly jump in and out of the lives of the game’s three lead characters, playing all sides of the game’s interwoven story.",1020,"<The game> is a vast open world game set in <a location>, a sprawling sun-soaked metropolis struggling to stay afloat in an era of economic uncertainty and cheap reality TV. The game blends storytelling and gameplay in new ways as players repeatedly jump in and out of the lives of the game’s three lead characters, playing all sides of the game’s interwoven story."
6517,"[4, 33]",JoJo's Bizarre Adventure: All Star Battle,"[5219, 5216, 5217, 5220, 5218]","Adapted from Hirohiko Araki’s smash manga hit, JoJo’s Bizarre Adventure, the game takes characters spanning all eight incredible story arcs of the manga and pits them against each other in an epic one-on-one fighting game.

With a revolutionary proprietary graphics shader system, JoJo’s Bizarre Adventure: All-Star Battle gives players the feeling that they are participating in vivid and colorful battles straight from the pages of the manga. Players will be able to choose from an impressive cast of characters spanning the entire series. Each character comes with their signature moves punctuated by dynamic camera angles to capture every highlight of the fight either against computer opponents via Story Mode or human adversaries online.",6517,"Adapted from <a creator>’s smash manga hit, <The game>, the game takes characters spanning all eight incredible story arcs of the manga and pits them against each other in an epic one-on-one fighting game.

With a revolutionary proprietary graphics shader system, <The game> gives players the feeling that they are participating in vivid and colorful battles straight from the pages of the manga. Players will be able to choose from an impressive cast of characters spanning the entire series. Each character comes with their signature moves punctuated by dynamic camera angles to capture every highlight of the fight either against computer opponents via Story Mode or human adversaries online."
25076,"[5, 12, 31]",Red Dead Redemption 2,"[43482, 43485, 181621, 181623, 181619, 181622, 181620, 211553, 212061, 212062, 212063, 212064, 1379545, 1379546]","Red Dead Redemption 2 is the epic tale of outlaw Arthur Morgan and the infamous Van der Linde gang, on the run across America at the dawn of the modern age.",25076,"<The game> is the epic tale of outlaw <the character> and the infamous <an organization>, on the run across <a location> at the dawn of the modern age."
2289,"[12, 16]",Pokémon Stadium,"[24123, 24122, 4849, 4850, 4848, 169521, 169520, 169519, 169524, 169522, 169523, 169525]","In the game's Stadium Mode, one player competes in 80 different battles, divided into four tournaments. Beat the Stadium Mode and you're in for a bonus battle against the ultimate Pokémon warrior, Mewtwo, as well as a secret mode that gives you 80 brand-new, and devilishly tough battles. There is virtually no way you can beat the secret mode without having trained your own, elite Pokémon. One to four players compete against each other or the computer in a no-holds-barred battle with customizable rules. You can select rental Pokémon for these battles -- but that makes them much too predictable since their selection of techniques isn't determined by the trainer. You can also select quick and easy versus and random battles.",2289,"In the game's <The game>, one player competes in 80 different battles, divided into four tournaments. Beat the <The game> and you're in for a bonus battle against the ultimate creature warrior, <an artifact>, as well as a secret mode that gives you 80 brand-new, and devilishly tough battles. There is virtually no way you can beat the secret mode without having trained your own, elite creatures. One to four players compete against each other or the computer in a no-holds-barred battle with customizable rules. You can select rental creatures for these battles -- but that makes them much too predictable since their selection of techniques isn't determined by the trainer. You can also select quick and easy versus and random battles."
41,"[5, 12, 31]",Deus Ex,"[6316, 23404, 7706, 23403, 23405]","A philosophical first-person WRPG set in a dystopian 2052 in which JC Denton, a nano-augmented agent for the anti-terrorist organization UNATCO, is tasked with stopping the invasion of Liberty Island by the terrorist group NSF. As events unfold, Denton finds that he plays a large part in a world-spanning conspiracy which forces him to ponder his allegiances, beliefs, morality, and view of right and wrong.",41,"A philosophical first-person WRPG set in a dystopian 2052 in which <the character>, a nano-augmented agent for the anti-terrorist <an organization>, is tasked with stopping the invasion of <a location> by the terrorist <an organization>. As events unfold, <the character> finds that <he/she/they> plays a large part in a world-spanning conspiracy which forces <him/her/them> to ponder <his/her/their> allegiances, beliefs, morality, and view of right and wrong."
26758,"[8, 31]",Super Mario Odyssey,"[174803, 174802, 44371, 44374, 44372, 44373, 44370, 174797, 174799, 174798, 174801, 1010715]","Explore incredible places far from the Mushroom Kingdom as you join Mario and his new ally Cappy on a massive, globe-trotting 3D adventure. Use amazing new abilities, like the power to capture and control objects, animals, and enemies to collect Power Moons so you can power up the Odyssey airship and save Princess Peach from Bowser’s wedding plans!",26758,"Explore incredible places far from <a location> as you join <the character> and <his> new ally <the character> on a massive, globe-trotting 3D adventure. Use amazing new abilities, like the power to capture and control objects, animals, and enemies to collect <an artifact> so you can power up the <The game> airship and save <the character> from <the character>’s wedding plans!"
7292,[4],Mortal Kombat X,"[6341, 6340, 6343, 6342, 6344]","Mortal Kombat X is the tenth main game in the one-on-one fighting series and a sequel to the 2011 title Mortal Kombat. The game stays close to the visual style and the mechanics of the 2011 reboot. The main controls are still based on two types of punches and kicks, and blocking, to form combos with uppercuts, teleports, special moves that incorporate weapons and fatalities. The three-tiered energy from the previous title returns, making available X-Ray moves, powered up EX moves and combo breakers. As introduced in Injustice: Gods Among Us, characters can use the environment to re-position themselves or optionally use parts as weapons. Each character now has three variations with different moves and weapons. There is once again a sprinting gauge, returning from Mortal Kombat 4.",7292,"<The game> is the tenth main game in the one‑on‑one fighting series and a sequel to the 2011 title <The game>. The game stays close to the visual style and the mechanics of the 2011 reboot. The main controls are still based on two types of punches and kicks, and blocking, to form combos with uppercuts, teleports, special moves that incorporate weapons and fatalities. The three‑tiered energy from the previous title returns, making available X‑Ray moves, powered up EX moves and combo breakers. As introduced in <a game>, characters can use the environment to re‑position themselves or optionally use parts as weapons. Each character now has three variations with different moves and weapons. There is once again a sprinting gauge, returning from <The game>."
73,"[5, 12]",Mass Effect,"[8398, 8401, 8400, 8402, 8399]","What starts as a routine mission to an agrarian outpost quickly becomes the opening salvo in an epic war. As the newly appointed Executive Officer of the SSV Normandy, you'll assemble and lead an elite squad of heroes into battle after heart-pounding battle. Each decision you make will impact not only your fate, but the destiny of the entire galaxy in the Mass Effect trilogy.

Key Features:

Incredible, interactive storytelling. Create and customize your own character, from Commander Shepard's appearance and skills to a personalized arsenal. Unleash devastating abilities as you command and train. Your decisions will control the outcome of each mission, your relationships with your crew and ultimately the entire war.

An amazing universe to explore. From the massive Citadel to the harsh, radioactive landscape of the Krogan home world – the incredible breadth of the Mass Effect universe will blow you away. Travel to the farthest outposts aboard the SSV Normandy, the most technologically advanced ship in the galaxy. You'll follow the clues left by ancient civilizations, discover hidden bases with fantastic new tech and lead your hand-picked crew into explosive alien battles.

Edge-of-your-seat excitement meets strategic combat. Find the perfect combination of squad-mates and weapons for each battle if you want to lead them to victory. Sun-Tzu's advice remains as pertinent in 2183 as it is today – know your enemy. You'll need different tactics for a squad of enemies with devastating biotic attacks than a heavily armored Geth Colossus so choose your teams wisely.",73,"What starts as a routine mission to an agrarian outpost quickly becomes the opening salvo in an epic war. As the newly appointed Executive Officer of <a location>, you'll assemble and lead an elite squad of heroes into battle after heart‑pounding battle. Each decision you make will impact not only your fate, but the destiny of the entire galaxy in <The game>.

Incredible, interactive storytelling. Create and customize your own character, from <the character>'s appearance and skills to a personalized arsenal. Unleash devastating abilities as you command and train. Your decisions will control the outcome of each mission, your relationships with your crew and ultimately the entire war.

An amazing universe to explore. From the massive <a location> to the harsh, radioactive landscape of <a location> – the incredible breadth of <The game> universe will blow you away. Travel to the farthest outposts aboard <a location>, the most technologically advanced ship in the galaxy. You'll follow the clues left by ancient civilizations, discover hidden bases with fantastic new tech and lead your hand‑picked crew into explosive alien battles.

Edge‑of‑your‑seat excitement meets strategic combat. Find the perfect combination of squad‑mates and weapons for each battle if you want to lead them to victory. Sun‑Tzu's advice remains as pertinent in 2183 as it is today – know your enemy. You'll need different tactics for a squad of enemies with devastating biotic attacks than a heavily armored <an organization> Colossus so choose your teams wisely."
116419,"[7, 31]",Cadence of Hyrule: Crypt of the NecroDancer Featuring the Legend of Zelda,"[489539, 489540, 489541, 489542, 489543, 489544, 489545, 489546, 489547, 489548]","Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda is a rhythmic action-adventure game where you can enjoy the gameplay of Crypt of the NecroDancer in the setting of The Legend of Zelda series. As Link - or even as Princess Zelda - you'll explore the randomly generated overworld and procedurally generated dungeons on a quest to save Hyrule. Every beat of each remixed Legend of Zelda tune is a chance to move, attack, defend, and more, so stay one step ahead of each enemy and boss… or face the music.",116419,"<The game> is a rhythmic action-adventure game where you can enjoy the gameplay of <The game> in the setting of <The game>. As <the character> - or even as <the character> - you’ll explore the randomly generated <a location> and procedurally generated dungeons on a quest to save <a location>. Every beat of each remixed <The game> tune is a chance to move, attack, defend, and more, so stay one step ahead of each enemy and boss… or face the music."
1443,"[12, 15]",Fire Emblem Awakening,"[1490, 1487, 1491, 1492, 1493, 182200, 182194, 182196, 182198, 182199, 182197, 182195]","Armies clash as the world burns. As an inevitable war draws ever closer, you must stand with Chrom and his forces--knights, mages, archers, and more--commanding them against the armies of kingdoms, empires, and the dead themselves.

Plan your strategery. Move your troops on the battlefield, then choose their weapon and attack. Using the new Pair Up and Dual systems, support your attacks with the help of nearby allies and watch their skills and relationships grow.",1443,"Armies clash as the world burns. As an inevitable war draws ever closer, you must stand with <the character> and <his/her/their> forces—knights, mages, archers, and more—commanding them against the armies of kingdoms, empires, and the dead themselves.

Plan your strategery. Move your troops on the battlefield, then choose their weapon and attack. Using the new Pair Up and Dual systems, support your attacks with the help of nearby allies and watch their skills and relationships grow."
