id,created_at,description,games,mug_shot,name,slug,updated_at,url,checksum,character_gender,character_species,akas
1832,1410985350,"Angio is an amateur singer who resembles a young Jezz Torrent (as he appeared in GTA Vice City) and even sings one of his solos. The Judges initially insult William after his performance with two of the judges voting it ""Shame"" but after Lazlow begs everyone to do something controversial to get ratings, Hugh Harrison votes William ""fame"" and the other judges follow suit despite already making their votes. Hugh then asks William to punch Lazlow, which he does twice.",[1020],3896,William Angio - Fame or Shame,william-angio-fame-or-shame,1566111519,https://www.igdb.com/characters/william-angio-fame-or-shame,23c170b3-91ef-110c-d790-adc521472854,0,1,
3317,1421352720,"Johnny Joestar is the protagonist of Steel Ball Run and a minor character in JoJolion. He is the seventh JoJo of the JoJo's Bizarre Adventure series. 
 
Johnny is a young man of below-average height and slim to medium build. He has light eyes, and light, shoulder-length hair curling upwards at its ends. 
 
Johnny always wears a knit capW, printed with many small five-pointed stars. His hair sticks out of holes on either side of the top, taking a shape like short horns. A horseshoe hangs from the front; framing an image of the dark silhouette of the profile of a horse's reared head. 
 
Johnny wears similarly star-patterned pants; of a piece with footwear bearing spursW. He commonly wears a light-colored, hooded, short-sleeved top; printed with thick lines in the approximate formation of a harness (later, with patches in the shape of hearts adorning both shoulders). A long feather (bordered by black with one black spot at its tip) emerges from under the back of his collar; and he wears wrist cuffs patterned with stars and stripes. 
 
Johnny Joestar is a depressive ex-jockey, who clings to his hope of regaining the use of his legs through the Spin and then the Corpse Part throughout Steel Ball Run. 
 
Johnny is introduced as a distant paraplegic man whose career was ruined when he was shot in the spine after conceitedly antagonizing a passerby. After Johnny witnesses Gyro's Steel Balls and Spin, and how they enabled him to stand up on his feet for a moment, he becomes determined to follow him and make him teach the Spin, then after discovering the Corpse Part making his legs twitch, to acquire them.",[6517],4011,Johnny Joestar,johnny-joestar,1601910822,https://www.igdb.com/characters/johnny-joestar,591e7495-e7de-2631-69d3-c796e78c1247,0,1,"['ジョニィ・ジョースター', 'JoJo (by his fans)', 'Joe Kid (by his fans)']"
12330,1547343528,"Arthur Morgan is a central character and the main protagonist of Red Dead Redemption 2. Arthur Morgan was born circa 1863 to Beatrice and Lyle Morgan, somewhere in the northern United States. Around 1877, Arthur was found and picked up of the streets by Dutch van der Linde and Hosea Matthews.",[25076],3971,Arthur Morgan,arthur-morgan,1600970449,https://www.igdb.com/characters/arthur-morgan,cf29a5a4-01cb-a541-094f-51bf21d43a49,0,1,
4907,1432500819,"The mascot species of the Pokémon franchise, Pikachu is an Electric-type rodent that evolves from Pichu and can later evolve into Raichu. Pikachu has been extensively featured in nearly every piece of Pokémon media, and its popularity extends outside of its home series - it has been playable in every Super Smash Bros. game, painted on commercial airliners, and has its own balloon in the Macy's Thanksgiving Day Parade.","[2289, 1512, 2290]",3706,Pikachu,pikachu,1498837295,https://www.igdb.com/characters/pikachu,5e530743-94f9-1830-e25b-0a566193146e,2,5,"['ピカチュウ', '比卡超', '피카츄', '皮卡丘']"
2629,1414875247,"His past is not known but he is known to the public as an important government official and the Director of FEMA. He was appointed to FEMA through Page's manipulation of an unnamed senator infected with the Gray Death, and went to work immediately. A cloak-and-dagger man, Simons was the first higher-up on the scene after JC Denton's capture of NSF operatives in Battery Park; his interrogation ended with Simons personally executing both prisoners.",[41],94,Walton Simons,walton-simons,1458567362,https://www.igdb.com/characters/walton-simons,11f526c2-f6c3-a601-8cef-515c2a95f53d,0,1,
12822,1551455886,"Peach (or Princess Peach) is a main protagonist in the Mario series. She's usually the damsel-in-distress of the games, who the players have to rescue, but she also has some important roles as the hero herself. She's the adorable and cute princess of the Mushroom Kingdom.",[26758],3938,Peach,peach,1589279625,https://www.igdb.com/characters/peach,131e5725-c34c-2b5e-7cd1-32b32b96e014,1,1,['Princess Peach']
8707,1464959057,"""Post Tenebras Veritas"" - Grayson's motto.
----

Grayson (his full name is never said. It is unknown whether Grayson is his first name, surname, or a pseudonym.) , formerly known as Sir Galahad is the main protagonist in The Order: 1886, a Knight of The Order and the third 'Sir Galahad', before being convicted of sedition against the establishment. He is a protégé of Sebastien Malory and after showing great skill and promise, he readily climbed up the internal ranks of The Order, and began to train his own protégé, Isabeau D'Argyll. Soon, Isabeau was knighted 'Lady Igraine', and they shortly developed romantic feelings for one another. Sadly, it was forbidden by law for them to have a relationship.

There's not a lot of info about Grayson's history in the narrative. The only implications of his origins are from an exchange with Sebastien where he states, ""That was before even my time. The city walls had yet to come up"".

Later, Sebastien dies and Grayson forms a pact with Alastair D'Argyll, calling each other 'brothers'. He however, made the mistake in sharing incriminating information without knowing that Alastair was a Half-breed. This forced Alastair to betray Grayson in favor of assuring the survival of his species.

Galahad is a serious figure, with undying loyalty to The Order. He's an expert tracker and hunter. However, under the service, self-doubt and concert exists. Jaded and numb to the violence he witnessed day-to-day, Galahad is world-weary with a calm, cool, professional demeanor.

After Sebastien's death, Galahad lost his calmness and turned vengeful, going ballistic on a rebel fighter until he spilled the leader's location. After learning the truth of Alastair's past, and not being able to tell the Council, he left the title 'Sir Galahad'.",,3668,Grayson / Sir Galahad,grayson-slash-sir-galahad,1473352801,https://www.igdb.com/characters/grayson-slash-sir-galahad,62e47a6f-b2fd-ae69-d599-6bdae4a04aba,0,1,
4365,1431265890,"Mileena is a character in the Mortal Kombat series. A genetic experiment created by the sorcerer Shang Tsung, she is one of the adopted daughters of the Outworld Emperor Shao Kahn and one of his personal enforcers. She has served as an antagonist throughout the series.",[7292],4108,Mileena,mileena,1669942397,https://www.igdb.com/characters/mileena,4533fa37-ea60-90d8-4718-f5e1fc14b16f,1,5,
6,1384003893,"Commander Shepard is the player character in BioWare's Mass Effect game trilogy: Mass Effect, Mass Effect 2, and Mass Effect 3. A veteran soldier of the Systems Alliance Navy military and N7-graduate of the Interplanetary Combatives Training (ICT) program, and the first human Citadel Council Spectre, Shepard works to stop ""the Reapers"", a sentient synthetic-machine race dedicated to wiping out all organic life.

Shepard's gender, class, first name and general appearance are chosen and customized by the player. Since the player can choose the gender of Shepard, much of the dialogue revolving around the character is gender neutral with only a few exceptions.","[73, 74]",3514,Commander Shepard (female),commander-shepard-female,1461070065,https://www.igdb.com/characters/commander-shepard-female,80f61b4f-9d97-5fe6-541c-bfe7fd4639c7,1,1,
14389,1562246736,"Link is the main protagonist in The Legend of Zelda series. He's usually the hero of the game, and the player's avatar.",[116419],3937,Link,link,1589279066,https://www.igdb.com/characters/link,978a3471-11dd-1a5a-cc63-542212ec2d53,0,5,
