game_id,precision,recall,f1,original_background_story,generated_background_story,generated_skill_tree,generated_txt_path,error
1020,0.8170521259307861,0.8204991817474365,0.81877201795578,"Angio is an amateur singer who resembles a young Jezz Torrent (as he appeared in GTA Vice City) and even sings one of his solos. The Judges initially insult William after his performance with two of the judges voting it ""Shame"" but after Lazlow begs everyone to do something controversial to get ratings, Hugh Harrison votes William ""fame"" and the other judges follow suit despite already making their votes. Hugh then asks William to punch Lazlow, which he does twice.","Julian ""Jax"" Roster was once a celebrated stuntman and minor reality television personality in the city's prime era, known for his charisma and reckless abandon. When the networks shifted to cheaper, more exploitative programming, Jax was discarded after an on-set injury, leaving him with medical bills and a bitter grudge against the media conglomerate. He now operates in the gray areas of the metropolis, using his driving skills and underworld connections to orchestrate high-risk heists. While he pretends to be cynical about the city’s obsession with fame, he secretly yearns for the validation of the spotlight. He is deeply in debt to dangerous loan sharks who threaten the few honest friends he has left, forcing him to take increasingly risky jobs. Jax struggles with his ego, often complicating plans just to look good, but his loyalty to his crew is unwavering. Ultimately, he seeks a score big enough to buy his freedom and dismantle the corrupt studio that ruined him.","- Tier 1:
  - Wheelman: Increases vehicle acceleration and handling, allowing for tighter turns and smoother landings.
  - Street Smarts: Highlights interactive objects and hidden entry points in the game world.
  - Bravado: Temporarily reduces incoming damage when health drops below a critical threshold.
- Tier 2:
  - Stunt Driver: Allows the character to perform vehicle jumps and sharp drifts without losing control.
  - Improvised Arms: Increases damage output and durability for melee weapons scavenged from the environment.
  - Slippery Target: Increases the speed of vaulting and climbing over urban obstacles.
- Tier 3:
  - Spotlight: Blinds enemies with a camera flash or flare, stunning them and interrupting attacks.
  - High Stakes: Increases the monetary reward for missions but raises the alert level of law enforcement.
  - Director's Cut: Allows the player to rewind a few seconds of gameplay to correct a fatal mistake.",glm_results\1020.txt,
6517,0.8041635751724243,0.7782983779907227,0.7910196185112,"Johnny Joestar is the protagonist of Steel Ball Run and a minor character in JoJolion. He is the seventh JoJo of the JoJo's Bizarre Adventure series. 
 
Johnny is a young man of below-average height and slim to medium build. He has light eyes, and light, shoulder-length hair curling upwards at its ends. 
 
Johnny always wears a knit capW, printed with many small five-pointed stars. His hair sticks out of holes on either side of the top, taking a shape like short horns. A horseshoe hangs from the front; framing an image of the dark silhouette of the profile of a horse's reared head. 
 
Johnny wears similarly star-patterned pants; of a piece with footwear bearing spursW. He commonly wears a light-colored, hooded, short-sleeved top; printed with thick lines in the approximate formation of a harness (later, with patches in the shape of hearts adorning both shoulders). A long feather (bordered by black with one black spot at its tip) emerges from under the back of his collar; and he wears wrist cuffs patterned with stars and stripes. 
 
Johnny Joestar is a depressive ex-jockey, who clings to his hope of regaining the use of his legs through the Spin and then the Corpse Part throughout Steel Ball Run. 
 
Johnny is introduced as a distant paraplegic man whose career was ruined when he was shot in the spine after conceitedly antagonizing a passerby. After Johnny witnesses Gyro's Steel Balls and Spin, and how they enabled him to stand up on his feet for a moment, he becomes determined to follow him and make him teach the Spin, then after discovering the Corpse Part making his legs twitch, to acquire them.","Solara Veyne was born into a legendary bloodline of martial artists tasked with guarding the Celestial Ember, an ancient artifact said to grant its wielder control over flame and light. When a rival faction invaded her village seeking the artifact's power, Solara's mother sealed the Ember within Solara's own soul to keep it from falling into evil hands. Now burdened with its volatile energy, Solara wanders the world seeking masters who can teach her to control the growing inferno inside her. Her journey has led her to the grand tournament, where the strongest fighters across all realms gather to prove their worth. Solara fights not for glory but for the chance to test herself against the world's greatest warriors and finally master the gift her mother died to protect. The stakes are deeply personal—if she loses control, the Ember could consume her entirely, destroying everyone she cares about. Her internal conflict rages between the desire for vengeance against those who destroyed her home and the discipline required to harness her power for protection rather than destruction.","- Tier 1:
  - Ember Strike: A quick flaming punch that extends Solara's reach and ignites enemies briefly.
  - Flash Step: A short-range instant dash that leaves behind a blinding afterimage to disorient foes.
  - Heat Wave: A defensive circular burst that repels incoming projectiles and close-range attackers.
- Tier 2:
  - Phoenix Rising: An anti-air uppercut that launches Solara upward trailing flames, carrying enemies skyward.
  - Scorched Earth: Solara slams the ground, creating spreading flames that limit enemy movement options.
  - Blazing Parry: A counter-stance that absorbs one attack and retaliates with amplified flame damage.
- Tier 3:
  - Supernova Burst: Solara releases her full power in a devastating expanding sphere of light that deals massive damage.
  - Celestial Inferno: A sustained barrage of flame projectiles that track enemies and pin them down.
  - Final Dawn: Solara channels the Celestial Ember's true power, entering an enhanced state with increased speed and damage for a limited time.",glm_results\6517.txt,
25076,0.8030630350112915,0.8184438347816467,0.8106804490089417,"Arthur Morgan is a central character and the main protagonist of Red Dead Redemption 2. Arthur Morgan was born circa 1863 to Beatrice and Lyle Morgan, somewhere in the northern United States. Around 1877, Arthur was found and picked up of the streets by Dutch van der Linde and Hosea Matthews.","Silas Vane was once a loyal enforcer for the Hollowpeak Brotherhood, a brotherhood of outlaws that once ruled the untamed canyons of Brimstone Territory. Born to a saloon singer and a father he never knew, he learned early that survival meant loyalty to those with power. The Brotherhood raised him, taught him to shoot, and gave him purpose—until the railroads came. As the Iron Wardens, a powerful industrial consortium, laid tracks through the canyons, the Brotherhood's influence crumbled. Silas was ordered to burn a settlement that refused to sell its land, a line he refused to cross. He turned his back on the only family he ever knew, saving the town but earning a death mark from his former brothers. Now he rides east toward the coast, fleeing both the Brotherhood's assassins and the Wardens' hired guns. Every town he passes through is another step toward a freedom he's never truly known. Silas fights not for redemption—that word died with his innocence—but for a chance to disappear into a world that's leaving men like him behind.","- Tier 1:
  - Quick Draw: Silas fires his revolver with increased speed, stunning nearby enemies for a brief moment.
  - Dust Cloak: Silas blends into his environment, reducing enemy detection range for a short duration.
  - Canyon Stride: Silas moves silently across rough terrain, leaving no footprints or noise.
- Tier 2:
  - Fan the Hammer: Silas rapid-fires all remaining rounds in his cylinder, dealing area damage in a cone.
  - Coat Tail: Silas deflects a single incoming projectile using his reinforced coat lining.
  - Snake Oil Tonic: Silas consumes a hidden flask, restoring a moderate amount of health over time.
- Tier 3:
  - Brothers Betrayed: Silas calls upon old contacts to create a temporary safe zone where enemies cannot enter.
  - Iron Wardens Bane: Silas plants an explosive charge that destroys environmental obstacles and damages all enemies in a wide radius.
  - The Long Ride: Silas enters a focused state where time slows, allowing precise shots with guaranteed critical hits for several seconds.",glm_results\25076.txt,
2289,0.8077832460403442,0.8051701784133911,0.8064745664596558,"The mascot species of the Pokémon franchise, Pikachu is an Electric-type rodent that evolves from Pichu and can later evolve into Raichu. Pikachu has been extensively featured in nearly every piece of Pokémon media, and its popularity extends outside of its home series - it has been playable in every Super Smash Bros. game, painted on commercial airliners, and has its own balloon in the Macy's Thanksgiving Day Parade.","Ryker grew up in the Outer Ring villages, far from the high-tech stadiums where elite trainers competed for glory. While urban trainers relied on data algorithms and rental beasts, Ryker learned the old ways of bonding with creatures in the wild, earning their trust through patience rather than programs. He enters the Grand Circuit to prove that a genuine connection outperforms the cold predictability of rented combatants. His ultimate goal is to dethrone the construct warrior known only as The Guardian, a legendary artificial defender rumored to hold the secret to true creature evolution. Ryker struggles with the pressure of being an underdog in a league dominated by wealthy sponsors and standardized battle strategies. He fights to save his local sanctuary from being demolished by the tournament's governing corporation. Every victory brings him closer to the secret mode, where only the strongest bonds survive.","- Tier 1:
  - Bond Resonance: Increases the accuracy of allied creatures by calming their nerves during battle.
  - Salvage Patch: Restores a small amount of health to an active creature using scavenged materials.
  - Scout’s Gaze: Reveals the hidden techniques of an enemy creature for a short duration.
- Tier 2:
  - Synergy Link: Allows the trainer to take a portion of damage intended for their creature.
  - Rally Cry: Boosts the attack power of all active creatures for three turns.
  - Adaptive Plan: Switches the active creature instantly without losing a turn.
- Tier 3:
  - Evolutionary Spark: Triggers a temporary mutation in a creature, granting them a random high-tier ability.
  - Perfect Harmony: Grants a creature immunity to status effects and critical hits for one round.
  - Master's Command: Executes a devastating finishing move that combines the power of the trainer and creature.",glm_results\2289.txt,
41,0.8144664764404297,0.8377136588096619,0.8259265422821045,"His past is not known but he is known to the public as an important government official and the Director of FEMA. He was appointed to FEMA through Page's manipulation of an unnamed senator infected with the Gray Death, and went to work immediately. A cloak-and-dagger man, Simons was the first higher-up on the scene after JC Denton's capture of NSF operatives in Battery Park; his interrogation ended with Simons personally executing both prisoners.","Born in the decaying industrial sprawl of Old Berlin, Zara Kessler survived her youth as a data courier for underground networks before being recruited by the Global Defense Coalition at nineteen. Her aptitude for infiltration earned her selection for the Nano-Integration Protocol, fusing microscopic machines with her nervous system to enhance reaction speed, sensory perception, and computational interfacing. Now twenty-seven, she serves as a field operative for the Coalition's Special Operations Division, tasked with preventing the radical Prometheus Collective from seizing control of an orbital defense station above New Shanghai. During the mission, encrypted files reveal that the Collective's leader was once a Coalition founder who uncovered evidence of a shadowy cabal manufacturing global terrorism to maintain control. Zara must confront that her augmentations may contain kill-switch protocols and surveillance implants, making her an unwitting asset to those she trusts. Her journey forces her to question whether loyalty to the organization that rescued her from poverty outweighs the moral cost of serving hidden masters. The stakes extend beyond survival to the fundamental question of whether free will can exist when thoughts are monitored, memories edited, and allegiances programmed from birth.","- Tier 1:
  - Neural Acceleration: Slows subjective perception of time during combat, allowing more precise aiming and reaction windows.
  - Optical Overlay: Activates enhanced vision modes to detect enemy positions through thin walls and low-visibility environments.
  - Interface Tap: Enables remote hacking of electronic locks and security terminals within short range without physical contact.
- Tier 2:
  - Reflex Override: Temporarily suppresses pain response and motor limitations, increasing melee damage and movement speed.
  - Signal Dampener: Scrambles bio-metric signature, reducing detection by automated turrets and security sensors for a limited duration.
  - Neural Firewall: Creates a defensive barrier against enemy hacking attempts and reduces duration of confusion or fear effects.
- Tier 3:
  - Ghost Protocol: Fully disengages bio-signature from all detection systems, rendering the agent invisible to cameras and thermal imaging.
  - Cascade Overload: Unleashes an electromagnetic pulse that disables all electronics within range at the cost of temporary system recharge.
  - Puppet Node: Establishes a temporary neural link to control a single enemy combatant or security drone before the connection burns out.",glm_results\41.txt,
26758,0.8031402826309204,0.8219648599624634,0.8124435544013977,"Peach (or Princess Peach) is a main protagonist in the Mario series. She's usually the damsel-in-distress of the games, who the players have to rescue, but she also has some important roles as the hero herself. She's the adorable and cute princess of the Mushroom Kingdom.","Zara Vane grew up listening to the roar of engines in her father's dusty mechanic shop, dreaming of the floating continents described in old travel logs. When the tyrannical Baroness Ironwood kidnapped her brother to force a political marriage and seized their family's prototype airship, Zara vowed to get him back. She stole the ""Animus Lasso,"" an ancient relic capable of capturing the essence of objects and creatures, effectively allowing her to control them. Now, she travels across the skies with a mismatched crew, hunting for the four Aether Crystals needed to power the airship for the rescue mission. Zara struggles with the moral weight of bending others to her will, fearing she might become a tyrant like the Baroness. The clock is ticking, as the wedding is set to occur during the next solar eclipse. Her journey takes her from the rusted gears of the Clockwork Archipelago to the verdant overgrowth of the Sky Jungle. Ultimately, she must decide if power is something to be wielded or set free.","- Tier 1:
  - Spirit Lasso: Zara throws her lasso to capture small objects and harmless animals, allowing her to move them or use them as platforms.
  - Wind Dash: A quick burst of speed that allows Zara to cross small gaps or dodge incoming projectiles.
  - Lift: Zara uses the lasso's power to levitate captured objects, holding them in place for a few seconds.
- Tier 2:
  - Beast Bind: Allows Zara to capture and control hostile enemies, using their unique attacks to solve puzzles or defeat other foes.
  - Echo Throw: Zara throws a captured entity with increased force, breaking fragile barriers or stunning larger enemies.
  - Anchor: While controlling an enemy, Zara can anchor them to the ground, making them immovable and usable as a shield.
- Tier 3:
  - Possession Chain: Zara can instantly chain from one captured entity to another without returning to her body, allowing for rapid traversal.
  - Titan's Grip: Enables the capture of massive objects or mini-bosses, allowing Zara to temporarily control the battlefield terrain.
  - Soul Burst: Zara releases all currently captured entities in a devastating explosive attack that clears the screen of enemies.",glm_results\26758.txt,
7292,0.822804868221283,0.8320314288139343,0.8273924589157104,"Mileena is a character in the Mortal Kombat series. A genetic experiment created by the sorcerer Shang Tsung, she is one of the adopted daughters of the Outworld Emperor Shao Kahn and one of his personal enforcers. She has served as an antagonist throughout the series.","Varin was once a loyal sentinel guarding the ancient interdimensional gates, until a catastrophic breach trapped him in the Void for decades. Exposure to this raw energy altered his physiology, granting him the ability to manipulate gravity and space at the cost of his sanity. He fights his way back to the material realm, driven by a fragmented memory of his duty and a burning desire to punish those who abandoned him. His internal conflict rages between his remaining humanity and the hollow, destructive whispers of the Void that now sustain him. He seeks to challenge the current champions of the tournament to prove his dominance and reclaim his post. The stakes are high, as his presence threatens to tear the fabric of reality if he remains unchecked.","- Tier 1:
  - Void Step: Instantly teleports behind the opponent to initiate a combo.
  - Kinetic Palm: Strikes the ground to create a shockwave that hits low.
  - Rift Shield: Absorbs a single projectile hit and stores the energy.
- Tier 2:
  - Gravity Crush: An EX move that increases the opponent's gravity, preventing them from jumping for 5 seconds.
  - Spectral Blade: Summons a temporary weapon extension for increased reach on standard punches.
  - Phase Dash: Passes through enemies and projectiles, leaving a damaging afterimage.
- Tier 3:
  - Event Horizon: An X-Ray move where Varin creates a micro-black hole that crushes the opponent's ribcage before exploding.
  - Singularity Strike: A powerful uppercut that knocks the opponent into a portal, dropping them back down for a ground slam.
  - Spatial Rend: A Fatality move where Varin rips a hole in space, slicing the opponent in half vertically.",glm_results\7292.txt,
73,0.82462477684021,0.8091381788253784,0.8168080449104309,"Commander Shepard is the player character in BioWare's Mass Effect game trilogy: Mass Effect, Mass Effect 2, and Mass Effect 3. A veteran soldier of the Systems Alliance Navy military and N7-graduate of the Interplanetary Combatives Training (ICT) program, and the first human Citadel Council Spectre, Shepard works to stop ""the Reapers"", a sentient synthetic-machine race dedicated to wiping out all organic life.

Shepard's gender, class, first name and general appearance are chosen and customized by the player. Since the player can choose the gender of Shepard, much of the dialogue revolving around the character is gender neutral with only a few exceptions.","Raised on a harsh radioactive mining world, Jace Valker learned survival tactics before he learned to read. He enlisted in the Galactic Defense Force to escape the poverty of the outer colonies and quickly rose through the ranks due to his unorthodox command style. His first assignment as Executive Officer aboard the prototype vessel *The Horizon* was meant to be a simple shakedown cruise. However, a sudden betrayal by a synthetic enemy faction plunged the galaxy into war during a routine diplomatic stop. Now, Jace must navigate complex alien politics and ancient mysteries to unite a fractured galaxy against a returning threat. He struggles with the weight of sending his hand-picked squad into danger while hunting for a lost technology that could end the war.","- Tier 1:
  - Kinetic Barrier: Deploys a temporary energy shield to absorb incoming projectile damage.
  - Overcharge: Temporarily increases weapon fire rate and accuracy for the user.
  - Combat Drone: Deploys a small hovering drone to harass enemies and draw fire.
- Tier 2:
  - Biotic Push: Unleashes a wave of kinetic energy to knock back enemies and destroy cover.
  - Neural Hack: temporarily turns robotic enemies against their allies during combat.
  - Tactical Cloak: Renders the user invisible for a short duration to reposition or ambush.
- Tier 3:
  - Nova Strike: Releases stored biotic energy in a massive explosion centered on the user.
  - Orbital Bombardment: Calls down a precise strike from the ship's main gun on a target area.
  - Squad Resurgence: Instantly revives all downed squad members and restores their shield integrity.",glm_results\73.txt,
116419,0.8031488060951233,0.8382964730262756,0.8203462958335876,"Link is the main protagonist in The Legend of Zelda series. He's usually the hero of the game, and the player's avatar.","Lyra was born in the Silent Quarter, a region of the kingdom where the ancient melodies have faded into dissonance. Once a humble court musician, she discovered the Tuning Fork blade, an artifact capable of restoring rhythm to a chaotic world. When the Discordant Lord stole the Kingdom's Master Tempo, the land began to freeze, trapping its people in a stasis of silence. Lyra volunteered to venture into the shifting dungeons that pulse with erratic beats. She fights to reconnect the severed ley lines of music that hold the realm together. Her internal conflict lies in balancing the destructive power of her weapon with the healing harmony she wishes to restore. If she fails, the Kingdom will fall into permanent, soundless entropy. Every step she takes must be precise, for she is the new metronome of her world.","- Tier 1:
  - Beat Strike: Lyra deals double damage if her attack lands perfectly on the rhythm beat.
  - Rhythm Step: A dash ability that grants brief invincibility when timed to the background track.
  - Echo Vision: Reveals hidden traps and secrets in the dungeon tiles for a short duration.
- Tier 2:
  - Crescendo Slash: A charged attack that hits enemies in a wide arc three tiles ahead.
  - Harmony Shield: Creates a temporary barrier that deflects projectile attacks on a perfect beat.
  - Rest Note: Lyra enters a meditative state to regenerate a small amount of health between tracks.
- Tier 3:
  - Symphony of Pain: A screen-wide attack that damages all enemies currently on the tile grid.
  - Tempo Shift: Briefly slows down the action speed of all enemies for eight beats.
  - Encore Revival: Automatically revives Lyra with full health once per dungeon run if she clears a room without taking damage.",glm_results\116419.txt,
1443,0.7826417088508606,0.7915421724319458,0.7870667576789856,Prince of Ylisse,"Kaelen Vane was once a scholar of military history at the Ivory Spire, more accustomed to reading about wars than fighting them. When the Necrotic Legions rose from the southern wastes, the ruling council was decimated, leaving Kaelen as the highest-ranking official remaining due to an obscure bloodline. He struggles with the crushing guilt of sending soldiers to their deaths, often treating his troops like chess pieces to maintain emotional distance. He wields his family’s ancestral rapier, ""Whisper,"" though he prefers resolving conflicts through diplomacy when possible. The ""Dual"" combat arts he implements allow his forces to cover each other's weaknesses, mirroring his belief that unity is the only way to survive the coming apocalypse. His internal conflict centers on whether he can remain human while becoming the ruthless general the world demands. As the kingdoms bicker and the dead march, Kaelen must rally knights and mages alike to hold the line against the darkness.","- Tier 1:
  - Tactical Insight: Grants a slight increase in accuracy for the character and adjacent allies during combat.
  - Swift Strike: Allows the character to attack first when engaging an enemy with lower speed.
  - Rallying Cry: Boosts the defense of all allies within a two-tile range for one turn.
- Tier 2:
  - Dual Guard: When standing next to a support partner, grants a chance to completely negate an incoming attack.
  - Tandem Assault: If the character attacks while adjacent to an ally, the ally follows up with a secondary strike.
  - Strategic Pivot: Allows the character to swap positions with an adjacent ally to reposition defenses.
- Tier 3:
  - Supreme Tactician: Reveals the movement range of all enemy units for three turns.
  - Phantom Edge: The character's attacks ignore a portion of the enemy's defense rating.
  - Last Stand: Automatically activates a protective barrier when the character's health drops below critical levels.",glm_results\1443.txt,
