game_id,precision,recall,f1,original_background_story,generated_background_story,generated_skill_tree,generated_txt_path,error
1020,0.7984336614608765,0.8122828006744385,0.8052986860275269,"Angio is an amateur singer who resembles a young Jezz Torrent (as he appeared in GTA Vice City) and even sings one of his solos. The Judges initially insult William after his performance with two of the judges voting it ""Shame"" but after Lazlow begs everyone to do something controversial to get ratings, Hugh Harrison votes William ""fame"" and the other judges follow suit despite already making their votes. Hugh then asks William to punch Lazlow, which he does twice.","Vespera is a ""Signal Hunter,"" a freelance information broker who survives by tracking down and salvaging valuable data-streams in the city's decaying communication grid. She grew up in the city's industrial underbelly, watching her parents' small repair shop be consumed by a subsidized corporate chain. Her motivation is to amass enough capital to buy her family's legacy back, but she is trapped in a cycle of high-risk, low-reward data grabs. Her internal conflict stems from her methods; she must often trade in the very same corporate secrets that ruined her family, justifying it as a necessary evil. The stakes are the soul of the city itself, as the data she unearths could either expose the corruption keeping the populace docile or be sold to further entrench the powerful. She navigates the metropolis via roof-top free-running and abandoned subway tunnels, knowing every flickering screen and dead zone intimately. Her connections are a network of other disillusioned tech-rats and a deep-seated resentment for the reality TV stars who glorify the city's decline.","- Tier 1:
  - Grid Sense: Highlights nearby active data streams and security nodes on the mini-map.
  - Silent Step: Reduces noise generated from movement, making stealth easier.
  - Quick Fingers: Slightly increases hacking speed on basic access points.
- Tier 2:
  - Signal Ghost: Allows temporary invisibility to low-level security cameras.
  - Data Burrow: Unlocks the ability to hack environmental objects to create distractions.
  - Kinetic Battery: Successfully evading enemies grants a temporary boost to movement speed.
- Tier 3:
  - Echo Locator: Reveals the location of high-value data caches within a large radius.
  - Hard-Link Override: Enables hacking of advanced security systems and corporate networks.
  - Vanishing Act: Using a data-distraction fully refills the stealth meter and creates a decoy.",deepseek_results\1020.txt,
6517,0.8137790560722351,0.7810040712356567,0.7970547676086426,"Johnny Joestar is the protagonist of Steel Ball Run and a minor character in JoJolion. He is the seventh JoJo of the JoJo's Bizarre Adventure series. 
 
Johnny is a young man of below-average height and slim to medium build. He has light eyes, and light, shoulder-length hair curling upwards at its ends. 
 
Johnny always wears a knit capW, printed with many small five-pointed stars. His hair sticks out of holes on either side of the top, taking a shape like short horns. A horseshoe hangs from the front; framing an image of the dark silhouette of the profile of a horse's reared head. 
 
Johnny wears similarly star-patterned pants; of a piece with footwear bearing spursW. He commonly wears a light-colored, hooded, short-sleeved top; printed with thick lines in the approximate formation of a harness (later, with patches in the shape of hearts adorning both shoulders). A long feather (bordered by black with one black spot at its tip) emerges from under the back of his collar; and he wears wrist cuffs patterned with stars and stripes. 
 
Johnny Joestar is a depressive ex-jockey, who clings to his hope of regaining the use of his legs through the Spin and then the Corpse Part throughout Steel Ball Run. 
 
Johnny is introduced as a distant paraplegic man whose career was ruined when he was shot in the spine after conceitedly antagonizing a passerby. After Johnny witnesses Gyro's Steel Balls and Spin, and how they enabled him to stand up on his feet for a moment, he becomes determined to follow him and make him teach the Spin, then after discovering the Corpse Part making his legs twitch, to acquire them.","Kaelen was a street artist who discovered he could manipulate light and color after an experimental graffiti incident gone wrong. He now battles to protect his city's vibrant underground culture from those who would impose monochromatic order upon it. His motivation stems from a deep belief that creativity and chaos are essential to human expression. He struggles with the fear that his powers might eventually drain the color from the world he loves if he uses them too recklessly. The stakes involve preserving the very soul of his metropolis, which is slowly being drained of its energy by a faceless corporation. He connects to the setting as a champion of the marginalized artists and freethinkers who give the city its unique character. His internal conflict pits his desire for peaceful creation against the necessity of violent confrontation to protect his way of life.","- Tier 1:
  - Prismatic Jab: A quick, basic punch infused with shifting light that causes minor disorientation.
  - Chroma Barrier: Projects a small, temporary shield of solid colored light that absorbs one incoming projectile.
  - Spectral Slide: A quick dashing maneuver that leaves a fading afterimage, slightly altering his hitbox.
- Tier 2:
  - Hued Uppercut: A powerful rising punch that erupts in a burst of energy, launching opponents upward.
  - Palette Swap: Briefly shifts his own color spectrum, making him temporarily intangible to attacks of a specific matching color.
  - Mirage Assault: Dashes forward with a series of feints and afterimages, making the next strike difficult to block.
- Tier 3:
  - Final Spectrum: Unleashes a devastating beam of concentrated, pure white light that pierces through defenses.
  - Rainbow Vortex: Creates a swirling field of chaotic color that damages and randomly applies status effects to anyone caught inside.
  - True Color Form: Transforms momentarily into a being of pure light, dramatically increasing speed and power for a short duration.",deepseek_results\6517.txt,
25076,0.8082585334777832,0.8130436539649963,0.8106440901756287,"Arthur Morgan is a central character and the main protagonist of Red Dead Redemption 2. Arthur Morgan was born circa 1863 to Beatrice and Lyle Morgan, somewhere in the northern United States. Around 1877, Arthur was found and picked up of the streets by Dutch van der Linde and Hosea Matthews.","Silas was once a respected lawman in the frontier territories before the Iron Syndicate's corporate enforcers seized control. When he refused to enforce their brutal new laws, they murdered his family and framed him for the crime. Now branded an outlaw, Silas travels the desolate badlands under the alias ""Whisper,"" a phantom who strikes against Syndicate operations. He's torn between his desire for vengeance and his fading belief in justice, haunted by memories of the peacekeeper he once was. The dawn of the industrial age brings with it the Syndicate's mechanized war machines and surveillance networks, making every shadow a potential threat. Silas knows he's hunting an organization that's rapidly making old-fashioned justice obsolete. His journey is not just about revenge, but about protecting what little freedom remains in the territories from total corporate domination. Each Syndicate outpost he destroys brings him closer to confronting the men who destroyed his life.","- Tier 1:
  - Quick Draw: Allows for instant reaction shots when encountering enemies.
  - Dust Devil: Creates small dust clouds that provide temporary cover.
  - Hawk's Eye: Temporarily highlights enemy weak points.
- Tier 2:
  - Riotous Ricochet: Bullets can bounce off metallic surfaces to hit concealed targets.
  - Phantom Step: Movement leaves temporary after-images that confuse automated turrets.
  - Chain Reaction: Shooting explosive barrels causes them to detonate in sequence.
- Tier 3:
  - Justice's Price: Each successful kill temporarily increases damage and movement speed.
  - Last Stand: When health is critical, time slows briefly allowing for precise shots.
  - Reckoning: Unleashes a barrage of shots in all directions after building up a combo meter.",deepseek_results\25076.txt,
2289,,,,,,,,Generated Background Story is empty for game_id=2289 (file: deepseek_results\2289.txt)
41,0.7828866243362427,0.7893936634063721,0.7861266732215881,"His past is not known but he is known to the public as an important government official and the Director of FEMA. He was appointed to FEMA through Page's manipulation of an unnamed senator infected with the Gray Death, and went to work immediately. A cloak-and-dagger man, Simons was the first higher-up on the scene after JC Denton's capture of NSF operatives in Battery Park; his interrogation ended with Simons personally executing both prisoners.",< Generic Correct>,"- Tier1:
 < Generic Correct>
- Tier2:
 < Generic Correct>
- Tier3:
 < Generic Correct>",deepseek_results\41.txt,
26758,0.8073669075965881,0.8248037099838257,0.8159921765327454,"Peach (or Princess Peach) is a main protagonist in the Mario series. She's usually the damsel-in-distress of the games, who the players have to rescue, but she also has some important roles as the hero herself. She's the adorable and cute princess of the Mushroom Kingdom.","Kaelen was an apprentice archivist in a quiet, isolated village, fascinated by the tales of ancient artifacts and forgotten places. His life was upended when his closest friend, Elara, was suddenly betrothed to a mysterious and powerful figure from a distant land as part of a political arrangement that reeks of coercion. Knowing Elara would be miserable, Kaelen vows to stop the wedding. He discovers an old legend about ancient artifacts that can power a legendary airship, the only thing fast enough to reach the remote ceremonial grounds in time. He is joined by an unexpected ally, a rogue sky-pirate who also has a vested interest in thwarting the wedding plans. Kaelen's motivation is torn between his personal desire to save his friend and the growing realization that the artifacts he seeks hold a much greater power that could destabilize the entire world. The stakes are immense: failure means his friend loses her freedom, but success might unleash forces he cannot control.","- Tier 1:
  - Basic Capture: Allows Kaelen to capture small, non-threatening creatures like forest sprites or rock mites.
  - Sturdy Boots: Increases movement speed and reduces environmental damage from rough terrain.
  - Keen Eye: Reveals hidden interactive objects and weak points in the environment.
- Tier 2:
  - Dominant Capture: Enables the capture of larger, hostile enemies, temporarily turning them into allies.
  - Echo Location: Releases a sonar pulse that highlights collectibles and secrets on the mini-map.
  - Glide Cloak: Allows a slow, controlled descent after a jump, improving traversal.
- Tier 3:
  - Alpha Capture: Allows the capture of massive boss-level creatures, granting their ultimate ability for a short time.
  - Chrono-Shift: Briefly slows down time, making platforming and combat easier.
  - Aether Weave: Creates temporary solid platforms out of captured energy, solving complex environmental puzzles.",deepseek_results\26758.txt,
7292,0.812700092792511,0.8335505127906799,0.822993278503418,"Mileena is a character in the Mortal Kombat series. A genetic experiment created by the sorcerer Shang Tsung, she is one of the adopted daughters of the Outworld Emperor Shao Kahn and one of his personal enforcers. She has served as an antagonist throughout the series.","Kaelen was the last guardian trained in the Chronos Temple before it fell to the temporal rift. His order dedicated themselves to protecting the flow of time itself from outside interference. When the dimensional barriers fractured, Kaelen witnessed his entire brotherhood erased from existence in a single paradoxical event. Now he wanders the battle-scarred realms, seeking those responsible for tampering with time. He believes restoring temporal balance will bring back his fallen comrades, but each use of his time-bending powers further destabilizes reality. Kaelen fights with the desperation of someone who has nothing left to lose, yet every victory risks creating new catastrophes. The very fabric of time unravels with each conflict, forcing him to choose between honoring his past and securing any future at all.","- Tier 1:
  - Temporal Slash: Basic combo starter that briefly slows opponents on hit
  - Chronal Step: Dash attack that leaves after-images confusing the enemy
  - Stasis Field: Creates a small area that reduces incoming attack speed
- Tier 2:
  - Paradox Uppercut: Launches opponent into temporal instability, extending combo windows
  - Echo Strike: Projects a delayed attack mirroring your last move
  - Time Locket: Perfect block rewinds opponent slightly, creating punish opportunities
- Tier 3:
  - Chrono-Breaker: X-Ray move that freezes the opponent before delivering a timeline-shattering blow
  - Reality Fracture: EX move that summons temporal shards from alternate timelines
  - Final Moment: Fatality trigger that ages the opponent to dust within a accelerated time bubble",deepseek_results\7292.txt,
73,0.822284996509552,0.8090807795524597,0.8156294822692871,"Commander Shepard is the player character in BioWare's Mass Effect game trilogy: Mass Effect, Mass Effect 2, and Mass Effect 3. A veteran soldier of the Systems Alliance Navy military and N7-graduate of the Interplanetary Combatives Training (ICT) program, and the first human Citadel Council Spectre, Shepard works to stop ""the Reapers"", a sentient synthetic-machine race dedicated to wiping out all organic life.

Shepard's gender, class, first name and general appearance are chosen and customized by the player. Since the player can choose the gender of Shepard, much of the dialogue revolving around the character is gender neutral with only a few exceptions.","Kaelen Valerius was a promising tactical analyst stationed at a remote agrarian outpost, the sole survivor of a devastating surprise attack that marked the beginning of a new galactic war. Haunted by the ghosts of his former crew, he was unexpectedly promoted to Executive Officer of a key strategic station due to his firsthand experience with the new enemy threat. His motivation is fueled by a burning need for answers about who orchestrated the attack and why, driving him to prevent such tragedies from befalling others. An internal conflict arises from his survivor's guilt, causing him to second-guess his command decisions and struggle with the weight of sending new crewmembers into harm's way. The stakes are immense, as the technology discovered on the outpost suggests the involvement of a previously unknown, highly advanced alien species. Kaelen's unique connection to the initial attack makes him both a valuable asset and a target, as he pieces together clues about a galaxy-wide conspiracy that threatens every settled world.","- Tier 1:
  - Tactical Analysis: Highlights enemy weak points, increasing critical hit chance for the entire squad.
  - Field Medic: Allows the use of medigel to revive downed squadmates during combat.
  - Combat Drills: Improves squad reaction time, granting a bonus to initiative rolls.
- Tier 2:
  - Inspiring Leader: Temporarily boosts squad damage and accuracy after achieving a squad kill.
  - Cybernetic Augmentation: Enhances personal shield capacity and recharge rate using the character's artificial arm.
  - Guerrilla Tactics: Increases damage dealt from cover and reduces the chance of being flanked.
- Tier 3:
  - Victory or Death: When health drops critically low, temporarily grants unlimited ability usage and dramatically increases weapon damage.
  - Master Strategist: Allows the pre-planning of an opening salvo for the entire squad at the start of combat.
  - Unbreakable Will: Makes the character immune to biotic and psychological attacks for a short duration.",deepseek_results\73.txt,
116419,0.7983695268630981,0.8407335877418518,0.8190040588378906,"Link is the main protagonist in The Legend of Zelda series. He's usually the hero of the game, and the player's avatar.","Lyra was an apprentice in the Guild of Echoes, weavers of reality's very fabric through song and thread. She was a prodigy, but her ambition led her to attempt a forbidden melody—the ""Weave of Silence""—which catastrophically unraveled part of the world and trapped its sound, creating the dissonant Silent Plains. Her mentor sacrificed himself to contain the backlash, leaving Lyra scarred with guilt and a fragment of the dangerous Weave resonating within her. Now, carrying her mentor's modified loom-shuttle as a dagger, she ventures into the twisted, procedurally generated dungeons born from her mistake. She must face the dissonant creatures and rhythmic environmental hazards she inadvertently created. Her quest is not just to restore what was lost, but to master the power that broke the world, weaving new harmonies from the chaos. She is driven by a desperate need for redemption, but fears that using her growing power might cause another, greater catastrophe.","- Tier 1:
  - Rhythmic Weave: Lyra's basic attacks in time with the music generate small ""threads"" of energy that briefly increase her movement speed.
  - Tempo Step: Dodging on the beat creates a faint echo image, slightly extending the invulnerability window of her next dodge.
  - Resonant Prick: A successful parry with her dagger emits a small sonic pulse, staggering nearby minor enemies.
- Tier 2:
  - Harmonic Loom: Lyra can now spend accumulated threads to create a temporary patch of ""solid sound"" on the ground, which acts as a platform or traps enemies.
  - Cascade Cadence: After a perfect dodge streak, Lyra's next three attacks are significantly faster and weave a damaging trail of light behind them.
  - Counter-Melody: A well-timed parry against a boss's heavy attack will not only stagger the boss but also instantly refill a portion of Lyra's special meter.
- Tier 3:
  - Grand Weave: Lyra channels all her power to perform a high-risk, high-reward maneuver, attempting to temporarily ""re-weave"" a small area of the dungeon, resetting hazards and healing her, but leaving her completely vulnerable during the long channeling time.
  - Silent Heart: By mastering the resonance within her, Lyra can enter a state of perfect rhythm for a short duration, where her movements don't consume stamina and every hit is a critical strike.
  - Final Chord: Lyra's ultimate attack unleashes the contained Weave of Silence in a massive, devastating wave that obliterates standard enemies and deals massive damage to bosses, but afterward, the world falls silent for a moment, disabling all music-based skills until the rhythm gradually returns.",deepseek_results\116419.txt,
1443,0.7824913859367371,0.8021867275238037,0.7922166585922241,Prince of Ylisse,"Lyra was born during the Great Starfall, a celestial event that scattered arcane shards across the land. An orphan raised by geomancer monks, she learned to channel the earth's latent energy through her unique crystalline spear. When the Sunken Empire began raising fallen warriors as soulless soldiers, Lyra abandoned her peaceful life to lead the resistance. She struggles to reconcile her monastic teachings of harmony with the brutal necessities of war, fearing the battle might corrupt her connection to the living earth. Her motivation stems from protecting the sacred geomantic leylines that the Empire seeks to defile for their necromantic rituals. If she fails, not only will the kingdoms fall, but the world's vital energies will be permanently extinguished, leaving a dead, silent planet.","- Tier 1:
  - Geomantic Resonance: Channel earth energy to temporarily increase the defense of all adjacent ally units.
  - Crystalline Thrust: A spear attack that has a chance to petrify a single enemy for one turn.
  - Leyline Synergy: Gain a slight boost to attack power when standing on specific terrain types.
- Tier 2:
  - Earthen Ward: Summon a protective barrier of stone that reduces ranged damage for allies in a small radius.
  - Quake Swing: Smash the ground with the spear, damaging and slowing all enemies in a frontal cone.
  - Resonant Pair-Up: When using the Pair Up system, both units recover a small amount of health.
- Tier 3:
  - Starfall Lance: Unleash a powerful single-target attack that ignores a portion of the enemy's armor.
  - Prismatic Aegis: Create a large energy field that greatly reduces magic damage for all allies within it.
  - Geode Core Awakening: Enter a heightened state where Lyra's spear attacks chain to a second nearby enemy.",deepseek_results\1443.txt,
